symbol,timestamp,security_id,symbol_name,spot_price,volume,oi,ltp_ticks_array
"NIFTY","2026-08-12T19:51:16.324Z","45095","NIFTY-Aug2026-24100-PE",24303.55,49782395,0,"[23.65]"
"NIFTY","2026-08-12T19:51:16.324Z","45096","NIFTY-Aug2026-24150-CE",24303.55,2886715,0,"[326.45]"
"NIFTY","2026-08-12T19:51:16.324Z","45097","NIFTY-Aug2026-24150-PE",24303.55,36036065,0,"[31]"
"NIFTY","2026-08-12T19:51:16.324Z","45098","NIFTY-Aug2026-24200-CE",24303.55,20859605,0,"[285.95]"
"NIFTY","2026-08-12T19:51:16.324Z","45099","NIFTY-Aug2026-24200-PE",24303.55,86932885,0,"[39.25]"
"NIFTY","2026-08-12T19:51:16.324Z","45100","NIFTY-Aug2026-24250-CE",24303.55,23892245,0,"[247]"
"NIFTY","2026-08-12T19:51:16.324Z","45101","NIFTY-Aug2026-24250-PE",24303.55,79365585,0,"[50.1]"
"NIFTY","2026-08-12T19:51:16.324Z","45102","NIFTY-Aug2026-24300-CE",24303.55,83452590,0,"[211]"
"NIFTY","2026-08-12T19:51:16.324Z","45103","NIFTY-Aug2026-24300-PE",24303.55,152842690,0,"[64.75]"
"NIFTY","2026-08-12T19:51:16.324Z","45104","NIFTY-Aug2026-24350-CE",24303.55,61930440,0,"[177.95]"
"NIFTY","2026-08-12T19:51:16.324Z","45105","NIFTY-Aug2026-24350-PE",24303.55,104025675,0,"[81]"
"NIFTY","2026-08-12T19:51:16.324Z","45106","NIFTY-Aug2026-24400-CE",24303.55,133295240,0,"[147.6]"
"NIFTY","2026-08-12T19:51:16.324Z","45107","NIFTY-Aug2026-24400-PE",24303.55,156887900,0,"[100.85]"
"NIFTY","2026-08-12T19:51:16.324Z","45108","NIFTY-Aug2026-24450-CE",24303.55,77640420,0,"[121.1]"
"NIFTY","2026-08-12T19:51:16.324Z","45109","NIFTY-Aug2026-24450-PE",24303.55,73419515,0,"[124.4]"
"NIFTY","2026-08-12T19:51:16.324Z","45110","NIFTY-Aug2026-24500-CE",24303.55,129229945,0,"[98.35]"
"NIFTY","2026-08-12T19:51:16.324Z","45111","NIFTY-Aug2026-24500-PE",24303.55,78883610,0,"[150.25]"
"NIFTY","2026-08-12T19:51:16.324Z","45112","NIFTY-Aug2026-24550-CE",24303.55,51617085,0,"[77.9]"
"NIFTY","2026-08-12T19:51:16.324Z","45115","NIFTY-Aug2026-24550-PE",24303.55,16305445,0,"[180.65]"
"NIFTY","2026-08-12T19:51:16.324Z","45116","NIFTY-Aug2026-24600-CE",24303.55,77747605,0,"[60.3]"
"NIFTY","2026-08-12T19:51:16.324Z","45117","NIFTY-Aug2026-24600-PE",24303.55,21503040,0,"[213.05]"
"NIFTY","2026-08-12T19:51:16.324Z","45120","NIFTY-Aug2026-24650-CE",24303.55,38625145,0,"[46.15]"
"NIFTY","2026-08-12T19:51:16.324Z","45121","NIFTY-Aug2026-24650-PE",24303.55,3786575,0,"[248.2]"
"NIFTY","2026-08-12T19:51:16.324Z","45122","NIFTY-Aug2026-24700-CE",24303.55,59793955,0,"[35.1]"
"NIFTY","2026-08-12T19:51:16.324Z","45123","NIFTY-Aug2026-24700-PE",24303.55,5248815,0,"[287.65]"
"NIFTY","2026-08-12T19:51:16.324Z","45132","NIFTY-Aug2026-24750-CE",24303.55,31565755,0,"[25.95]"
"NIFTY","2026-08-12T19:51:16.324Z","45133","NIFTY-Aug2026-24750-PE",24303.55,839865,0,"[330.15]"
"NIFTY","2026-08-12T19:51:16.324Z","45140","NIFTY-Aug2026-24800-CE",24303.55,54581930,0,"[19.4]"
"NIFTY","2026-08-12T19:51:16.324Z","45141","NIFTY-Aug2026-24800-PE",24303.55,1732445,0,"[371.35]"
"NIFTY","2026-08-12T19:51:16.324Z","45142","NIFTY-Aug2026-24850-CE",24303.55,27985425,0,"[13.9]"
"NIFTY","2026-08-12T19:51:16.324Z","45143","NIFTY-Aug2026-24850-PE",24303.55,231725,0,"[418]"
"NIFTY","2026-08-12T19:51:16.324Z","45144","NIFTY-Aug2026-24900-CE",24303.55,37195730,0,"[10.45]"
"NIFTY","2026-08-12T19:51:16.324Z","45145","NIFTY-Aug2026-24900-PE",24303.55,560430,0,"[462.4]"
"NIFTY","2026-08-12T19:51:16.324Z","45146","NIFTY-Aug2026-24950-CE",24303.55,20963930,0,"[7.9]"
"NIFTY","2026-08-12T19:51:16.324Z","45147","NIFTY-Aug2026-24950-PE",24303.55,75270,0,"[511.9]"
"NIFTY","2026-08-12T19:51:16.324Z","45148","NIFTY-Aug2026-25000-CE",24303.55,53575860,0,"[6.45]"
"NIFTY","2026-08-12T19:51:16.324Z","45149","NIFTY-Aug2026-25000-PE",24303.55,671645,0,"[559.75]"
"NIFTY","2026-08-12T19:51:16.324Z","45150","NIFTY-Aug2026-25050-CE",24303.55,23631010,0,"[4.85]"
"NIFTY","2026-08-12T19:51:16.324Z","45151","NIFTY-Aug2026-25050-PE",24303.55,38545,0,"[605.75]"
"NIFTY","2026-08-12T19:51:16.324Z","45152","NIFTY-Aug2026-25100-CE",24303.55,37267295,0,"[3.85]"
"NIFTY","2026-08-12T19:51:16.324Z","45153","NIFTY-Aug2026-25100-PE",24303.55,47905,0,"[654.7]"
"NIFTY","2026-08-12T19:51:16.324Z","45154","NIFTY-Aug2026-25150-CE",24303.55,33334405,0,"[3.3]"
"NIFTY","2026-08-12T19:51:16.324Z","45155","NIFTY-Aug2026-25150-PE",24303.55,24050,0,"[705.7]"
"NIFTY","2026-08-12T19:51:16.324Z","45156","NIFTY-Aug2026-25200-CE",24303.55,48683765,0,"[2.4]"
"NIFTY","2026-08-12T19:51:16.324Z","45157","NIFTY-Aug2026-25200-PE",24303.55,41925,0,"[754.1]"
"NIFTY","2026-08-12T19:51:16.324Z","45158","NIFTY-Aug2026-25250-CE",24303.55,27807585,0,"[2.2]"
"NIFTY","2026-08-12T19:51:16.324Z","45159","NIFTY-Aug2026-25250-PE",24303.55,17420,0,"[802.6]"
"NIFTY","2026-08-12T19:51:16.324Z","45162","NIFTY-Aug2026-25300-CE",24303.55,41695355,0,"[1.85]"
"NIFTY","2026-08-12T19:51:16.324Z","45163","NIFTY-Aug2026-25300-PE",24303.55,17680,0,"[864.05]"
"NIFTY","2026-08-12T19:51:16.324Z","45164","NIFTY-Aug2026-25350-CE",24303.55,23290020,0,"[1.65]"
"NIFTY","2026-08-12T19:51:16.324Z","45165","NIFTY-Aug2026-25350-PE",24303.55,5590,0,"[930.8]"
"NIFTY","2026-08-12T19:51:16.324Z","45166","NIFTY-Aug2026-25400-CE",24303.55,32649110,0,"[1.55]"
"NIFTY","2026-08-12T19:51:16.324Z","45167","NIFTY-Aug2026-25400-PE",24303.55,3835,0,"[957.8]"
"NIFTY","2026-08-12T19:51:16.324Z","45168","NIFTY-Aug2026-25450-CE",24303.55,7592455,0,"[1.4]"
"NIFTY","2026-08-12T19:51:16.324Z","45169","NIFTY-Aug2026-25450-PE",24303.55,520,0,"[990.7]"
"NIFTY","2026-08-12T19:51:16.324Z","45170","NIFTY-Aug2026-25500-CE",24303.55,26745680,0,"[1.35]"
"NIFTY","2026-08-12T19:51:16.324Z","45171","NIFTY-Aug2026-25500-PE",24303.55,17615,0,"[1050.7]"
"NIFTY","2026-08-12T19:51:16.324Z","45172","NIFTY-Aug2026-25550-CE",24303.55,4253340,0,"[1.15]"
"NIFTY","2026-08-12T19:51:16.324Z","45173","NIFTY-Aug2026-25550-PE",24303.55,0,0,"[1452.05]"
